date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source,cluster_id,cluster_decision,cluster_block_reason
0,M,buy,5.731620865581021,15.493484245491029,88.8027775820072,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
0,TFC,buy,1.8660330403774257,42.68470938034058,79.65107802262375,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
0,GEN,buy,2.7319315089076284,29.129967875289918,79.58107709197152,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
5,GEN,sell,2.7319315089076284,26.960050582885742,73.54989745279225,,trailing_stop,-6.031179639179271,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
5,SNY,buy,1.5969950756606908,42.70892460021973,68.20594227331465,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
6,TFC,sell,3.546426152757684,39.72175216674805,140.67304235250995,,trailing_stop,-6.699349931457903,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
10,PDD,buy,0.6704130611679832,99.00842075042725,66.3765384367016,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
12,M,sell,14.906136471246043,15.817877769470215,235.4533478946079,,trailing_stop,0.5762843415000702,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
15,TFC,buy,1.8715637838662134,41.226367913818365,77.15777712784654,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
15,GEN,buy,2.862979494568352,26.773867855453492,76.6530346604461,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
20,M,buy,4.754678981193102,13.75257839984894,65.38909545497202,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
37,M,sell,13.409424758426061,13.77108097076416,184.40374693588743,,trailing_stop,-3.3525279420763354,17,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
45,M,buy,3.1013561550032924,14.479877314567567,44.907256633226666,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
50,M,sell,3.1013561550032924,13.686189651489258,42.38632446626871,,trailing_stop,-2.520932166957955,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
50,FE,buy,0.8700551189261192,41.00024077377319,35.672469362424756,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
52,PDD,sell,2.058331425069679,113.69000244140625,233.68408835475705,,trailing_stop,8.143969861615972,42,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,2,,
54,TFC,sell,5.311405903833872,41.31372833251953,219.12677300192834,,trailing_stop,-4.438090611806359,39,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
55,FE,sell,0.8700551189261192,36.64414978027344,31.8377946928893,,trailing_stop,-3.834674669535456,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
55,BP,buy,2.5685389902694036,29.808091442871095,76.56324509653017,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
60,M,buy,5.238570043901852,13.148067916488648,68.87707472250447,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
60,PDD,buy,0.5446487213834498,118.02500461120606,64.28216785276915,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,2,,
61,GEN,sell,9.029944619430426,25.713634490966797,231.86762564412146,,trailing_stop,-11.158332850813622,46,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
65,KT,buy,4.2945927447596866,18.012986720500198,77.35844208131273,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,0,,
65,JD,buy,1.6635324296158973,42.13275089304421,70.0891974595072,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
69,SNY,sell,14.896146567957278,50.30630111694336,748.3055281962379,,trailing_stop,37.089609533166936,64,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
70,JD,sell,1.6635324296158973,39.1865234375,65.054569346117,,trailing_stop,-5.034628113390198,5,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
70,UGP,buy,44.74266162980255,3.1657303633621563,141.64320245910483,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
72,M,sell,5.238570043901852,12.246108055114746,64.03149349469705,,trailing_stop,-4.845581227807429,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
76,BP,sell,6.825757869116835,29.26222038269043,199.42542953368886,,trailing_stop,-14.157271184661596,21,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
77,UGP,sell,80.8873389152441,2.950000047683716,238.17219166949533,,trailing_stop,-15.72213083455435,7,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
79,PDD,sell,1.4569097977433174,93.9800033569336,136.63380606988576,,stop_loss,-36.486880728381465,19,False,quality_compounder,quality_compounder,quality_compounder,global_rule,2,,
80,AQN,buy,29.506668892265843,4.811049325025566,141.95803945788845,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
80,CVS,buy,2.0369298544486165,67.1376338973866,136.7546508426282,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
85,EXC,buy,2.1864554672602106,44.97745208498086,98.34119601464056,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
87,CVS,sell,3.613181106471968,62.22898864746094,224.43325520335563,,trailing_stop,-15.684294649875056,7,False,defensive_income,defensive_income,defensive_income,archetype_rule,4,,
90,UGP,buy,31.725988452335685,3.165752915897695,100.4366404527183,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
99,UGP,sell,55.62044094877611,2.9800000190734863,165.45021774637232,,trailing_stop,-9.431519223722972,9,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
100,GEN,buy,2.6347727900182223,27.784090873800558,73.20476662968332,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
100,UMC,buy,10.487120515040074,6.953808924670248,72.92543223157811,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
102,EXC,sell,2.1864554672602106,42.487125396728516,92.76165740212836,,trailing_stop,-5.579538612512195,17,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
103,AQN,sell,62.920074158331744,5.487836837768555,344.68879033847315,,trailing_stop,29.82336346040489,23,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
105,AES,buy,8.87949904589909,11.818428566282176,104.94172517832914,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
110,AES,sell,8.87949904589909,9.15911865234375,81.14965687362118,,stop_loss,-23.79206830470794,5,False,defensive_income,defensive_income,defensive_income,global_rule,4,,
110,OTEX,buy,3.1384853427518102,27.168943157165035,85.26932987681955,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
110,SNY,buy,1.6664122133448276,49.828378997648805,83.03461933285686,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
116,SNY,sell,1.6664122133448276,46.60453414916992,77.53886649613158,,trailing_stop,-5.495752836725288,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
119,UMC,sell,10.487120515040074,7.072689533233643,74.03634155505196,,trailing_stop,1.110909323473848,19,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
120,AQN,buy,11.407890927341908,5.734111256332501,65.41411577748465,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,1,,
130,IBM,buy,0.14034419177935953,282.4278130177555,39.637103153988974,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
135,UMC,buy,4.193720732845568,7.663950333230604,32.14046740796788,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
140,FNB,buy,1.9800265811683273,15.459376061086706,30.609975529228993,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
143,GEN,sell,10.162394997809614,28.140485763549805,285.525219454592,,weak_value,-1.7915804017038681,43,False,defensive_income,defensive_income,defensive_income,global_rule,0,,
143,OTEX,sell,9.192588227073069,27.269794464111328,250.29860064345158,,trailing_stop,-1.588742430804615,33,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
145,TFC,buy,2.0480629689183436,42.51098674581253,87.06517772627717,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
150,UMC,sell,4.193720732845568,7.340000152587891,30.7346240306118,,trailing_stop,-1.4058433773560814,15,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
150,M,buy,5.993270686122721,12.6532997376505,75.83465040038506,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
150,ORCL,buy,0.3082979904912644,236.68009345016017,72.96799719996905,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,4,,
150,RF,buy,2.8584931379566196,25.471022987479547,72.8087444264456,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
151,IBM,sell,0.14034419177935953,274.97698974609375,38.534666803477464,,weak_value,-1.1024363505115105,21,False,defensive_income,defensive_income,defensive_income,global_rule,0,,
155,AES,buy,4.868893240995965,12.802059979090435,62.331863303018366,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
155,OTEX,buy,2.04838829778202,29.50373433431376,60.4351041512779,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
157,M,sell,10.916024773091317,12.261561393737793,133.60022501161077,,trailing_stop,-5.961599992136598,7,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
158,TFC,sell,2.0480629689183436,41.09867858886719,84.0482726732006,,trailing_stop,-3.01690505307657,13,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
158,FNB,sell,7.888538617557453,14.543314933776855,114.55195086474592,,trailing_stop,-5.014008729190678,18,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
160,BP,buy,2.630268475413271,31.928533569108072,83.98061531299933,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
162,RF,sell,6.268657663690116,23.917587280273438,149.70232424379688,,trailing_stop,-6.584178836346695,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
162,OTEX,sell,2.04838829778202,27.386581420898438,56.013979864560895,,trailing_stop,-4.421124286717003,7,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
163,AQN,sell,27.64338005752519,5.629959583282471,155.3386270817157,,trailing_stop,-2.759173429490943,43,False,defensive_income,defensive_income,defensive_income,archetype_rule,1,,
165,JNJ,buy,0.618396648030231,168.80519005279015,104.38856369875151,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
165,UGP,buy,32.2146458064164,3.205762672986313,103.27250904968476,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
165,GILD,buy,0.8048529589771,117.93344887263898,94.91908528751802,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
166,KT,sell,24.954610218698264,20.270000457763672,505.13622429104754,,trim_exit,45.78971416843228,101,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
167,KT,sell,16.719588846527834,20.700000762939453,345.61824260336596,,trim_exit,37.856080821213766,102,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
168,KT,sell,11.20212452717365,20.59000015258789,230.3337429081655,,trim_exit,24.133094514123513,103,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
169,KT,sell,7.505423433206344,20.790000915527344,155.82243324315743,,trim_exit,17.667998819149318,104,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
170,KT,sell,5.028633700248251,20.75,104.20013747923846,,trim_exit,11.63666641515303,105,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
170,M,buy,16.907399924768473,12.683044585202202,214.43730706568292,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
171,ORCL,sell,0.3082979904912644,233.21958923339844,71.76699362438524,,weak_value,-1.2010035755838118,21,False,quality_compounder,quality_compounder,quality_compounder,global_rule,4,,
175,OTEX,buy,5.2925742929125965,31.419398089613523,166.28949862787567,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
175,APA,buy,7.498288060614035,21.564984149225495,161.70046317346845,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
177,GILD,sell,0.8048529589771,110.42315673828125,88.73433873623527,,trailing_stop,-6.184746551282743,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
180,M,sell,16.907399924768473,15.805086135864258,266.648183589151,,take_profit,52.2108765234681,10,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
180,PDD,buy,1.201892328901761,124.58352222825349,149.7359796736999,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,5,,
183,APA,sell,14.290768795204091,21.66119384765625,308.9756182788548,,trailing_stop,-2.9134621559693983,8,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
183,AES,sell,11.60377883858985,12.2621431350708,141.99167351348433,,trailing_stop,-3.176504622070752,28,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
185,M,buy,10.640731836785612,16.57867550019249,176.40924020663584,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,3,,
190,RF,buy,4.327389154011751,26.43427916560885,114.39141295537453,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
192,KT,sell,20.531758969816835,19.389999389648438,397.54383028435694,,weak_value,-4.867429880277484,127,False,quality_compounder,quality_compounder,quality_compounder,global_rule,0,,
192,BP,sell,7.452248785415168,32.8471794128418,244.43304417915272,,weak_value,-0.723738866370411,32,False,defensive_income,defensive_income,defensive_income,global_rule,5,,
204,RF,sell,4.327389154011751,25.21963119506836,108.97682532155227,,trailing_stop,-5.414587633822265,14,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
204,UGP,sell,190.7147227410574,3.8299999237060547,729.1157758093614,,trailing_stop,19.206430755278916,39,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
205,BABA,buy,0.8937184206615562,181.4771918111993,162.18950925159933,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,4,,
207,M,sell,43.213076515689785,16.202346801757812,698.6546508045465,,trailing_stop,-41.53838877437738,22,False,defensive_income,defensive_income,defensive_income,archetype_rule,3,,
210,AES,buy,13.005927872835246,14.24627353434511,185.28600604437418,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
210,MU,buy,0.9487308282226078,192.16516807227018,182.3130190607415,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule,3,,
215,M,buy,8.042199645988559,18.252743439031963,146.79220682370286,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
215,EIX,buy,2.3480393898878202,56.64122580767229,132.9958292879451,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
220,CVS,buy,1.2417850341204988,79.35957673087873,98.54753469854258,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,2,,
221,MU,sell,0.3130811733134606,223.82550048828125,69.93613189284277,,trim_exit,9.772835602798068,11,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
222,MU,sell,0.2097643861200186,223.58570861816406,46.807027364252754,,trim_exit,6.497618849922802,12,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
223,EIX,sell,2.3480393898878202,52.96129608154297,124.1674008106372,,trailing_stop,-8.828428477307895,8,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
223,AES,sell,13.005927872835246,13.29666805267334,172.60970207261198,,trailing_stop,-12.676303971762195,13,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
223,MU,sell,0.14054213870041246,234.50669860839844,32.89216335147352,,trim_exit,5.884859646872453,13,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
224,OTEX,sell,37.1532649512073,36.49412536621094,1353.622772730785,,trailing_stop,3.603974486536117,49,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
224,MU,sell,0.09416323292927636,217.85043334960938,20.471405192484536,,trim_exit,2.376511710401818,14,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
225,MU,sell,0.06308936606261517,237.3043975830078,14.940026207948003,,trim_exit,2.8164475749525817,15,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
225,UGP,buy,64.16041622317022,4.097413576370332,262.891760498389,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
226,BABA,sell,0.8937184206615562,167.61000061035156,149.4870731811525,,weak_value,-12.702436070446822,21,False,quality_compounder,quality_compounder,quality_compounder,global_rule,4,,
226,MU,sell,0.04226987526195216,238.1337127685547,10.044983621748766,,trim_exit,1.922185937641835,16,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
227,MU,sell,0.028320816425507944,237.72406005859375,6.718595878036069,,trim_exit,1.2763214296844252,17,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
228,MU,sell,0.018974947005090323,253.0913848876953,4.792364277566726,,trim_exit,1.1460403971711246,18,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
229,MU,sell,0.012713214493410514,240.91143798828125,3.0563154633401104,,trim_exit,0.6132784634750577,19,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
230,MU,sell,0.008517853710585045,244.6982879638672,2.079919172267313,,trim_exit,0.44308438235772796,20,True,quality_compounder,quality_compounder,quality_compounder,global_rule,,,
231,UGP,sell,118.07766839049157,4.090000152587891,482.0869457672884,,trailing_stop,-11.43185484488663,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,4,,
233,M,sell,38.28453442078282,18.79315185546875,717.9783661998237,,trailing_stop,-37.596689463554526,18,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
234,PDD,sell,2.64782920457238,119.58000183105469,316.1164887212908,,trailing_stop,-30.627356665221157,54,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,5,,
235,MU,sell,0.017293824200278727,225.73394775390625,3.8955115197350247,,trailing_stop,0.5722408856761696,25,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule,3,,
235,GGB,buy,85.16839406295352,3.420784256766723,291.34270158465586,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
235,MRK,buy,3.089538674789352,93.70123599034446,289.49359246773315,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
235,APA,buy,12.188027787180639,23.711715611619727,288.9990487561462,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,0,,
239,JNJ,sell,1.8229102269053556,204.40159606933594,372.13121974497426,,take_profit,58.51623287777255,74,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
240,M,buy,12.57630516562983,22.05927133339277,277.4241280201775,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
240,UGP,buy,63.23195307122472,4.126893704002511,260.95154902141957,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,5,,
244,CVS,sell,4.494628066333949,73.74073028564453,330.9404726560444,,trailing_stop,-19.194015470074305,24,False,defensive_income,defensive_income,defensive_income,archetype_rule,2,,
244,APA,sell,4.022049169769611,26.51863670349121,106.45094141190694,,trim_exit,11.081255322378695,9,True,defensive_income,defensive_income,defensive_income,global_rule,,,
245,APA,sell,2.6947729437456394,26.28247833251953,70.68752395215034,,trim_exit,6.789834272166416,10,True,defensive_income,defensive_income,defensive_income,global_rule,,,
245,JNJ,buy,1.185827312804777,200.51390133122078,237.77486079560373,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule,4,,
246,UGP,sell,63.23195307122472,3.990000009536743,251.85868476753035,,trailing_stop,-9.092864253889218,6,False,defensive_income,defensive_income,defensive_income,archetype_rule,5,,
247,MRK,sell,8.218936981587984,97.37040710449219,798.9621763516094,,trailing_stop,-10.61571638373016,12,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
252,APA,sell,5.471205673665389,24.865528106689453,135.79053739181532,,trailing_stop,6.0588644051813105,17,False,defensive_income,defensive_income,defensive_income,archetype_rule,0,,
