segment,variant,start_day,end_day,excess_delta_vs_current,return_delta_vs_current
train,neutral_065_5,762,807,0.002222762101846021,0.002222762101846021
train,neutral_065_5,763,808,-2.7354498625120627e-05,-2.7354498625120627e-05
train,neutral_065_5,764,809,0.004113341150196348,0.004113341150196348
train,neutral_065_5,765,810,0.004040379892131796,0.004040379892131796
train,neutral_065_5,766,811,0.0026539906627134346,0.0026539906627134346
train,neutral_065_5,767,812,0.004024783537959431,0.004024783537959431
train,neutral_065_5,768,813,0.005712102791904705,0.005712102791904705
train,neutral_065_5,769,814,0.007958985338461844,0.007958985338461844
train,neutral_065_5,770,815,0.010446532627722105,0.010446532627722105
train,neutral_065_5,771,816,0.006438360197500659,0.006438360197500659
train,neutral_065_5,772,817,0.0069739386075717835,0.0069739386075717835
train,neutral_065_5,773,818,0.006226081025315855,0.006226081025315855
train,neutral_065_5,774,819,8.456722850391785e-05,8.456722850391785e-05
train,neutral_065_5,775,820,0.0003494010606741593,0.0003494010606741593
train,neutral_065_5,776,821,0.0039532928343744,0.0039532928343744
train,neutral_065_5,777,822,-0.009421745263620496,-0.009421745263620496
train,neutral_065_5,778,823,-0.009695850658860028,-0.009695850658860028
train,neutral_065_5,779,824,-0.003861949376461782,-0.003861949376461782
train,neutral_065_5,780,825,-0.0036823429941957864,-0.0036823429941957864
train,neutral_065_5,781,826,-1.8006461266484308e-06,-1.8006461266484308e-06
train,neutral_065_5,995,1040,-0.0011782017243422427,-0.0011782017243422427
train,neutral_065_5,996,1041,-0.00043707997499020657,-0.00043707997499020657
train,neutral_065_5,997,1042,0.00043647374808508665,0.00043647374808508665
train,neutral_065_5,998,1043,0.0053572367713983216,0.0053572367713983216
train,neutral_065_5,999,1044,0.005556383501653439,0.005556383501653439
train,neutral_065_5,1000,1045,0.004410352789549599,0.004410352789549599
train,neutral_065_5,1001,1046,0.0027205337566416077,0.0027205337566416077
train,neutral_065_5,1002,1047,0.00013837461813626106,0.00013837461813626106
train,neutral_065_5,1003,1048,0.0023329367788686994,0.0023329367788686994
train,neutral_065_5,1004,1049,0.00011548944090966629,0.00011548944090966629
train,neutral_065_5,1005,1050,0.0027426054445354175,0.0027426054445354175
train,neutral_065_5,1006,1051,0.00462230724685786,0.00462230724685786
train,neutral_065_5,1007,1052,0.007075358768875439,0.007075358768875439
train,neutral_065_5,1008,1053,0.003936196381932433,0.003936196381932433
train,neutral_065_5,1009,1054,0.005084728204012734,0.005084728204012734
train,neutral_065_5,1010,1055,0.006172076276585559,0.006172076276585559
train,neutral_065_5,1011,1056,0.00823163322552345,0.00823163322552345
train,neutral_065_5,1012,1057,0.006881999892594859,0.006881999892594859
train,neutral_065_5,1013,1058,0.000283227245608364,0.000283227245608364
train,neutral_065_5,1014,1059,0.00827369783158205,0.00827369783158205
train,neutral_065_5,1015,1060,0.004629424616881206,0.004629424616881206
train,neutral_065_5,1016,1061,0.008876937141518493,0.008876937141518493
train,neutral_065_5,1017,1062,0.009363023057262998,0.009363023057262998
train,neutral_065_5,1018,1063,-0.0021077628326404696,-0.0021077628326404696
train,neutral_065_5,2378,2423,-0.009303852551263203,-0.009303852551263203
train,neutral_065_5,2379,2424,-0.004045918645021573,-0.004045918645021573
train,neutral_065_5,2380,2425,-0.006479832588747958,-0.006479832588747958
train,neutral_065_5,2381,2426,-0.008882354320065788,-0.008882354320065788
train,neutral_060_6,461,506,0.007585434247263989,0.007585434247263989
train,neutral_060_6,462,507,-0.009981422755087954,-0.009981422755087954
train,neutral_060_6,463,508,-0.0033812132485964153,-0.0033812132485964153
train,neutral_060_6,464,509,-0.0012270765609266876,-0.0012270765609266876
train,neutral_060_6,465,510,-0.0025929607809143107,-0.0025929607809143107
train,neutral_060_6,466,511,-0.004823985275991816,-0.004823985275991816
train,neutral_060_6,467,512,-0.009104409055001761,-0.009104409055001761
train,neutral_060_6,468,513,-0.0004142550853837301,-0.0004142550853837301
train,neutral_060_6,469,514,0.000896544844355085,0.000896544844355085
train,neutral_060_6,470,515,-0.0029232784904579256,-0.0029232784904579256
train,neutral_060_6,471,516,-0.00901447707644154,-0.00901447707644154
train,neutral_060_6,472,517,0.00518721891498819,0.00518721891498819
train,neutral_060_6,473,518,-0.0018806785814580174,-0.0018806785814580174
train,neutral_060_6,474,519,-0.012716778234867832,-0.012716778234867832
train,neutral_060_6,475,520,-0.01749913500797784,-0.01749913500797784
train,neutral_060_6,476,521,-0.025903311405437446,-0.025903311405437446
train,neutral_060_6,477,522,0.04218084420432677,0.04218084420432677
train,neutral_060_6,478,523,0.03869777890485526,0.03869777890485526
train,neutral_060_6,479,524,-0.01047448569604903,-0.01047448569604903
train,neutral_060_6,480,525,-0.007605696382061655,-0.007605696382061655
train,neutral_060_6,481,526,-0.010207101347610048,-0.010207101347610048
train,neutral_060_6,482,527,-0.010336337822631325,-0.010336337822631325
train,neutral_060_6,483,528,-0.0032684554266200205,-0.0032684554266200205
train,neutral_060_6,484,529,-0.002363054465112646,-0.002363054465112646
train,neutral_060_6,485,530,-0.0023899492868358907,-0.0023899492868358907
train,neutral_060_6,486,531,-0.00904479232585187,-0.00904479232585187
train,neutral_060_6,487,532,-0.015209373705954432,-0.015209373705954432
train,neutral_060_6,488,533,-0.007689135348723952,-0.007689135348723952
train,neutral_060_6,489,534,-0.015290513809963269,-0.015290513809963269
train,neutral_060_6,490,535,-0.018243057996036982,-0.018243057996036982
train,neutral_060_6,491,536,-0.023774716756335912,-0.023774716756335912
train,neutral_060_6,492,537,-0.022121905338828296,-0.022121905338828296
train,neutral_060_6,493,538,-0.018236961894615877,-0.018236961894615877
train,neutral_060_6,494,539,-0.02522726953985066,-0.02522726953985066
train,neutral_060_6,495,540,-0.03191433074752581,-0.03191433074752581
train,neutral_060_6,496,541,-0.0224404895338709,-0.0224404895338709
train,neutral_060_6,746,791,-0.009841232379004028,-0.009841232379004028
train,neutral_060_6,747,792,-0.00938762695898876,-0.00938762695898876
train,neutral_060_6,748,793,-0.008873611004404758,-0.008873611004404758
train,neutral_060_6,749,794,-0.012182148773043577,-0.012182148773043577
train,neutral_060_6,750,795,-0.010813142320111657,-0.010813142320111657
train,neutral_060_6,751,796,-0.01519902267109452,-0.01519902267109452
train,neutral_060_6,752,797,-0.013859710502655664,-0.013859710502655664
train,neutral_060_6,753,798,-0.011632420927828901,-0.011632420927828901
train,neutral_060_6,754,799,0.001462145006678961,0.001462145006678961
train,neutral_060_6,755,800,0.00016858882168091505,0.00016858882168091505
train,neutral_060_6,756,801,-0.008565871033641592,-0.008565871033641592
train,neutral_060_6,757,802,-0.001143463769124775,-0.001143463769124775
train,neutral_060_6,758,803,-0.0010176338757819092,-0.0010176338757819092
train,neutral_060_6,759,804,-0.004080122232709149,-0.004080122232709149
train,neutral_060_6,760,805,0.0022605086185356615,0.0022605086185356615
train,neutral_060_6,761,806,0.003455972970160648,0.003455972970160648
train,neutral_060_6,762,807,0.0036203514114132584,0.0036203514114132584
train,neutral_060_6,763,808,0.00030752893445074037,0.00030752893445074037
train,neutral_060_6,764,809,0.00439162420171435,0.00439162420171435
train,neutral_060_6,765,810,0.003323339442689921,0.003323339442689921
train,neutral_060_6,766,811,1.65527208548788e-05,1.65527208548788e-05
train,neutral_060_6,767,812,0.004859364185169968,0.004859364185169968
train,neutral_060_6,768,813,0.009322244269665436,0.009322244269665436
train,neutral_060_6,769,814,0.008592878157922534,0.008592878157922534
train,neutral_060_6,770,815,0.0116115432293038,0.0116115432293038
train,neutral_060_6,771,816,0.006264629363793794,0.006264629363793794
train,neutral_060_6,772,817,0.007580239671808098,0.007580239671808098
train,neutral_060_6,773,818,0.015884192121214724,0.015884192121214724
train,neutral_060_6,774,819,0.008953001971234276,0.008953001971234276
train,neutral_060_6,775,820,0.0043879827761195145,0.0043879827761195145
train,neutral_060_6,776,821,-9.026142072676713e-05,-9.026142072676713e-05
train,neutral_060_6,777,822,-0.013587629360577225,-0.013587629360577225
train,neutral_060_6,778,823,-0.0038288430930397688,-0.0038288430930397688
train,neutral_060_6,779,824,-0.0048245761918142005,-0.0048245761918142005
train,neutral_060_6,780,825,-0.010445480270981466,-0.010445480270981466
train,neutral_060_6,781,826,-0.003813687904126839,-0.003813687904126839
train,neutral_060_6,995,1040,-0.0035894032417815858,-0.0035894032417815858
train,neutral_060_6,996,1041,-0.000375055585879025,-0.000375055585879025
train,neutral_060_6,997,1042,0.005601536762885662,0.005601536762885662
train,neutral_060_6,998,1043,0.005170678995501499,0.005170678995501499
train,neutral_060_6,999,1044,0.006617085270030687,0.006617085270030687
train,neutral_060_6,1000,1045,0.00412373160056867,0.00412373160056867
train,neutral_060_6,1001,1046,0.0027741891975121558,0.0027741891975121558
train,neutral_060_6,1002,1047,-0.00045779882039154174,-0.00045779882039154174
train,neutral_060_6,1003,1048,0.005765445601046082,0.005765445601046082
train,neutral_060_6,1004,1049,-0.003459437885680483,-0.003459437885680483
train,neutral_060_6,1005,1050,0.005412813424406693,0.005412813424406693
train,neutral_060_6,1006,1051,0.0019090740432645692,0.0019090740432645692
train,neutral_060_6,1007,1052,0.007094480479812981,0.007094480479812981
train,neutral_060_6,1008,1053,0.010057955912564198,0.010057955912564198
train,neutral_060_6,1009,1054,0.007284509544966955,0.007284509544966955
train,neutral_060_6,1010,1055,0.00834129768229519,0.00834129768229519
train,neutral_060_6,1011,1056,0.00850097586326104,0.00850097586326104
train,neutral_060_6,1012,1057,0.0038987991771186614,0.0038987991771186614
train,neutral_060_6,1013,1058,0.0035301821339210893,0.0035301821339210893
train,neutral_060_6,1014,1059,0.006459344922200128,0.006459344922200128
train,neutral_060_6,1015,1060,0.006976225782735268,0.006976225782735268
train,neutral_060_6,1016,1061,0.00883781972690656,0.00883781972690656
train,neutral_060_6,1017,1062,0.0024642451534355736,0.0024642451534355736
train,neutral_060_6,1018,1063,0.003793361637855819,0.003793361637855819
train,neutral_060_6,2378,2423,-0.01565462779214477,-0.01565462779214477
train,neutral_060_6,2379,2424,-0.006284197383773948,-0.006284197383773948
train,neutral_060_6,2380,2425,-0.007101079219089201,-0.007101079219089201
train,neutral_060_6,2381,2426,-0.010018894790247534,-0.010018894790247534
train,neutral_055_6,461,506,0.008100452213005704,0.008100452213005704
train,neutral_055_6,462,507,-0.009638934756037831,-0.009638934756037831
train,neutral_055_6,463,508,-0.002008980787022052,-0.002008980787022052
train,neutral_055_6,464,509,-0.0019369641553551586,-0.0019369641553551586
train,neutral_055_6,465,510,-0.003116947058666719,-0.003116947058666719
train,neutral_055_6,466,511,-0.005700269859632456,-0.005700269859632456
train,neutral_055_6,467,512,-0.006827692108479777,-0.006827692108479777
train,neutral_055_6,468,513,0.002002963170327776,0.002002963170327776
train,neutral_055_6,469,514,-0.0014098829263301527,-0.0014098829263301527
train,neutral_055_6,470,515,-0.004727253183432589,-0.004727253183432589
train,neutral_055_6,471,516,-0.01095593315450849,-0.01095593315450849
train,neutral_055_6,472,517,0.01086962709349637,0.01086962709349637
train,neutral_055_6,473,518,0.0006468894023219374,0.0006468894023219374
train,neutral_055_6,474,519,-0.017685701139119936,-0.017685701139119936
train,neutral_055_6,475,520,-0.022240827675098385,-0.022240827675098385
train,neutral_055_6,476,521,-0.030998739339850423,-0.030998739339850423
train,neutral_055_6,477,522,0.05767878542691385,0.05767878542691385
train,neutral_055_6,478,523,0.053334283185813236,0.053334283185813236
train,neutral_055_6,479,524,-0.01302610443998986,-0.01302610443998986
train,neutral_055_6,480,525,-0.009948300652058095,-0.009948300652058095
train,neutral_055_6,481,526,-0.012259268851479765,-0.012259268851479765
train,neutral_055_6,482,527,-0.012418604718214654,-0.012418604718214654
train,neutral_055_6,483,528,-0.005075327068630009,-0.005075327068630009
train,neutral_055_6,484,529,-0.004093120698421493,-0.004093120698421493
train,neutral_055_6,485,530,-0.0037807696072368335,-0.0037807696072368335
train,neutral_055_6,486,531,-0.012432280915088856,-0.012432280915088856
train,neutral_055_6,487,532,-0.018016545113452076,-0.018016545113452076
train,neutral_055_6,488,533,-0.011173537846958181,-0.011173537846958181
train,neutral_055_6,489,534,-0.019626822715361647,-0.019626822715361647
train,neutral_055_6,490,535,-0.022691220991196914,-0.022691220991196914
train,neutral_055_6,491,536,-0.029146995888311378,-0.029146995888311378
train,neutral_055_6,492,537,-0.027654818493292876,-0.027654818493292876
train,neutral_055_6,493,538,-0.02261133143954419,-0.02261133143954419
train,neutral_055_6,494,539,-0.030762082614179898,-0.030762082614179898
train,neutral_055_6,495,540,-0.038166293764880566,-0.038166293764880566
train,neutral_055_6,496,541,-0.027398768665001016,-0.027398768665001016
train,neutral_055_6,746,791,-0.013696342238897596,-0.013696342238897596
train,neutral_055_6,747,792,-0.01331647777938949,-0.01331647777938949
train,neutral_055_6,748,793,-0.012688895677376744,-0.012688895677376744
train,neutral_055_6,749,794,-0.01610237495898148,-0.01610237495898148
train,neutral_055_6,750,795,-0.014271386923290663,-0.014271386923290663
train,neutral_055_6,751,796,-0.019148020125978382,-0.019148020125978382
train,neutral_055_6,752,797,-0.017724219590244727,-0.017724219590244727
train,neutral_055_6,753,798,-0.014250276946078833,-0.014250276946078833
train,neutral_055_6,754,799,0.0003210879865220839,0.0003210879865220839
train,neutral_055_6,755,800,-0.0010224294095708686,-0.0010224294095708686
train,neutral_055_6,756,801,-0.00971182778641655,-0.00971182778641655
train,neutral_055_6,757,802,-0.001698170911748953,-0.001698170911748953
train,neutral_055_6,758,803,-0.002088798247664725,-0.002088798247664725
train,neutral_055_6,759,804,-0.005432253977551094,-0.005432253977551094
train,neutral_055_6,760,805,0.0019390889966954816,0.0019390889966954816
train,neutral_055_6,761,806,0.0041532800443673246,0.0041532800443673246
train,neutral_055_6,762,807,0.003988706130142017,0.003988706130142017
train,neutral_055_6,763,808,0.0008794164610201882,0.0008794164610201882
train,neutral_055_6,764,809,0.005480830823594962,0.005480830823594962
train,neutral_055_6,765,810,0.0041247974202356374,0.0041247974202356374
train,neutral_055_6,766,811,0.0013406619638884898,0.0013406619638884898
train,neutral_055_6,767,812,0.006430416804299011,0.006430416804299011
train,neutral_055_6,768,813,0.011956457893385952,0.011956457893385952
train,neutral_055_6,769,814,0.010409392813456986,0.010409392813456986
train,neutral_055_6,770,815,0.014251759752217819,0.014251759752217819
train,neutral_055_6,771,816,0.008205168480202474,0.008205168480202474
train,neutral_055_6,772,817,0.008594342955807521,0.008594342955807521
train,neutral_055_6,773,818,0.0178010912377784,0.0178010912377784
train,neutral_055_6,774,819,0.01036246546175712,0.01036246546175712
train,neutral_055_6,775,820,0.005573758074364443,0.005573758074364443
train,neutral_055_6,776,821,-0.001385805778771676,-0.001385805778771676
train,neutral_055_6,777,822,-0.0165061453477362,-0.0165061453477362
train,neutral_055_6,778,823,-0.004857005020088678,-0.004857005020088678
train,neutral_055_6,779,824,-0.006179618099823259,-0.006179618099823259
train,neutral_055_6,780,825,-0.011899706427195289,-0.011899706427195289
train,neutral_055_6,781,826,-0.00509121954511027,-0.00509121954511027
train,neutral_055_6,995,1040,-0.005332082607406363,-0.005332082607406363
train,neutral_055_6,996,1041,-0.00056179387284927,-0.00056179387284927
train,neutral_055_6,997,1042,0.006502427292998325,0.006502427292998325
train,neutral_055_6,998,1043,0.0064799486348721125,0.0064799486348721125
train,neutral_055_6,999,1044,0.007915055802093285,0.007915055802093285
train,neutral_055_6,1000,1045,0.005246031073862012,0.005246031073862012
train,neutral_055_6,1001,1046,0.0036255248220300462,0.0036255248220300462
train,neutral_055_6,1002,1047,7.608360156319272e-05,7.608360156319272e-05
train,neutral_055_6,1003,1048,0.006582404030851974,0.006582404030851974
train,neutral_055_6,1004,1049,-0.004002458363394412,-0.004002458363394412
train,neutral_055_6,1005,1050,0.005998720777490085,0.005998720777490085
train,neutral_055_6,1006,1051,0.0024762740518546877,0.0024762740518546877
train,neutral_055_6,1007,1052,0.009060460102429113,0.009060460102429113
train,neutral_055_6,1008,1053,0.012357521556577655,0.012357521556577655
train,neutral_055_6,1009,1054,0.009499222355225712,0.009499222355225712
train,neutral_055_6,1010,1055,0.010815230096068662,0.010815230096068662
train,neutral_055_6,1011,1056,0.010661706906089918,0.010661706906089918
train,neutral_055_6,1012,1057,0.005431789589001257,0.005431789589001257
train,neutral_055_6,1013,1058,0.004868035640717361,0.004868035640717361
train,neutral_055_6,1014,1059,0.008539010138049807,0.008539010138049807
train,neutral_055_6,1015,1060,0.009047692968503052,0.009047692968503052
train,neutral_055_6,1016,1061,0.011297837533773114,0.011297837533773114
train,neutral_055_6,1017,1062,0.004240190723522774,0.004240190723522774
train,neutral_055_6,1018,1063,0.00513003432753556,0.00513003432753556
train,neutral_055_6,2378,2423,-0.018713571046004573,-0.018713571046004573
train,neutral_055_6,2379,2424,-0.006939823320030625,-0.006939823320030625
train,neutral_055_6,2380,2425,-0.008453931473671683,-0.008453931473671683
train,neutral_055_6,2381,2426,-0.01124501233149855,-0.01124501233149855
holdout,neutral_070_4,3598,3643,0.001951302560468049,0.001951302560468049
holdout,neutral_070_4,3599,3644,0.0018857474693108056,0.0018857474693108056
holdout,neutral_070_4,3600,3645,0.0014621188897863124,0.0014621188897863124
holdout,neutral_070_4,3601,3646,0.005667451072854046,0.005667451072854046
holdout,neutral_070_4,3602,3647,-0.0002571400139048663,-0.0002571400139048663
holdout,neutral_070_4,3603,3648,-0.000738946638730642,-0.000738946638730642
holdout,neutral_070_4,3604,3649,-0.00010192891847138341,-0.00010192891847138341
holdout,neutral_070_4,3605,3650,0.002184439384003145,0.002184439384003145
holdout,neutral_070_4,3606,3651,0.0038684581838603904,0.0038684581838603904
holdout,neutral_070_4,3607,3652,0.0011749983433195776,0.0011749983433195776
holdout,neutral_070_4,3608,3653,0.0014600794720425192,0.0014600794720425192
holdout,neutral_070_4,3609,3654,0.005964961537063607,0.005964961537063607
holdout,neutral_065_5,3598,3643,0.024203121806429362,0.024203121806429362
holdout,neutral_065_5,3599,3644,0.010795647546889775,0.010795647546889775
holdout,neutral_065_5,3600,3645,0.011853079888132001,0.011853079888132001
holdout,neutral_065_5,3601,3646,0.024032615536899282,0.024032615536899282
holdout,neutral_065_5,3602,3647,0.014036824312677387,0.014036824312677387
holdout,neutral_065_5,3603,3648,0.023619189356338,0.023619189356338
holdout,neutral_065_5,3604,3649,0.011987029834665153,0.011987029834665153
holdout,neutral_065_5,3605,3650,0.018490524536926234,0.018490524536926234
holdout,neutral_065_5,3606,3651,0.009684386866632533,0.009684386866632533
holdout,neutral_065_5,3607,3652,0.001820494261230765,0.001820494261230765
holdout,neutral_065_5,3608,3653,0.008586664871793381,0.008586664871793381
holdout,neutral_065_5,3609,3654,0.008740417677362666,0.008740417677362666
holdout,neutral_060_6,3598,3643,0.03326049165228562,0.03326049165228562
holdout,neutral_060_6,3599,3644,0.017270480979365566,0.017270480979365566
holdout,neutral_060_6,3600,3645,0.021482559092860898,0.021482559092860898
holdout,neutral_060_6,3601,3646,0.027844309550825397,0.027844309550825397
holdout,neutral_060_6,3602,3647,0.01994233363178699,0.01994233363178699
holdout,neutral_060_6,3603,3648,0.03004937301436872,0.03004937301436872
holdout,neutral_060_6,3604,3649,0.03613693496794457,0.03613693496794457
holdout,neutral_060_6,3605,3650,0.04791096082669033,0.04791096082669033
holdout,neutral_060_6,3606,3651,0.02084086602112034,0.02084086602112034
holdout,neutral_060_6,3607,3652,0.010922512648396498,0.010922512648396498
holdout,neutral_060_6,3608,3653,0.018666872957358693,0.018666872957358693
holdout,neutral_060_6,3609,3654,0.015839888467070518,0.015839888467070518
holdout,neutral_055_6,3598,3643,0.037902249476431615,0.037902249476431615
holdout,neutral_055_6,3599,3644,0.01978092861236802,0.01978092861236802
holdout,neutral_055_6,3600,3645,0.024501518666706357,0.024501518666706357
holdout,neutral_055_6,3601,3646,0.03246368601250649,0.03246368601250649
holdout,neutral_055_6,3602,3647,0.021904985827864376,0.021904985827864376
holdout,neutral_055_6,3603,3648,0.03319755593428475,0.03319755593428475
holdout,neutral_055_6,3604,3649,0.0404040832641821,0.0404040832641821
holdout,neutral_055_6,3605,3650,0.0549988093627336,0.0549988093627336
holdout,neutral_055_6,3606,3651,0.024452637783878517,0.024452637783878517
holdout,neutral_055_6,3607,3652,0.012567958286130443,0.012567958286130443
holdout,neutral_055_6,3608,3653,0.021175777337588686,0.021175777337588686
holdout,neutral_055_6,3609,3654,0.019679812243045713,0.019679812243045713
